 Procedimentos hospitalares do SUS - por local de internação - São Paulo;;;
Internações por Estabelecimento e Gestão;;;
Período:2024;;;
Estabelecimento;Estadual plena;Municipal plena assist;Total
2088576 HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI;9243;-;9243
2089327 HOSPITAL PADRE ALBINO CATANDUVA;9937;-;9937
2089335 HOSP ESCOLA EMILIO CARLOS CATANDUVA;7107;-;7107
2089548 SANTA CASA DE PITANGUEIRAS;-;1652;1652
2089572 ASSOC CRUZ VERDE;-;40;40
2089696 HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP;-;2329;2329
2089785 HOSPITAL DO RIM E HIPERTENSAO;-;7709;7709
2090171 UNIDADE HOSPITALAR DR JOSE NIGRO NETO AMERICO BRASILIENSE;-;347;347
2090236 FUNDACAO PIO XII BARRETOS;17918;-;17918
2090309 CENTRO DE ATENCAO INTEGRAL A SAUDE CANTIDIO DE MOURA CAMPOS;568;-;568
2090333 SANTA CASA DE CERQUEIRA CESAR;-;1648;1648
2090376 HOSPITAL MUNICIPAL JULIO RODRIGUES DE PAULA COLOMBIA;-;19;19
2090961 HOSPITAL CARLOS FERNANDO MALZONI MATAO;5755;-;5755
2091267 SANTA CASA SANTA RITA DO PASSA QUATRO;-;1084;1084
2091275 CAIS CENTRO ATENCAO INTEGRAL SAUDE SANTA RITA PASSA QUATRO;448;-;448
2091305 H O REDENTORA HOSPITAL DE OLHOS;-;15;15
2091313 HOSPITAL REGIONAL SUL SAO PAULO;5862;-;5862
2091356 HOSPITAL VITAL BRAZIL SAO PAULO;90;-;90
2091399 ASSOCIACAO NOSSA SENHORA DO PARI;-;6778;6778
2091542 AME AMBULATORIO MEDICO DE ESPECIALIDADES MARIA ZELIA;4436;-;4436
2091550 INST CEMA DE OFTALMOLOGIA E OTORRINOLARINGOLOGIA;-;3174;3174
2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;12117;-;12117
2091658 HOSPITAL DIA M BOI MIRIM I JARDIM IBIRAPUERA;-;1790;1790
2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;5850;-;5850
2092093 HOSPITAL E MATERNIDADE SAO VICENTE DE PAULO VIRADOURO SP;-;387;387
2092298 SANTA CASA DE ITU;-;5258;5258
2092395 HOSPITAL MUNICIPAL IBATE;-;823;823
2092611 SANTA CASA DE BARRETOS;-;12082;12082
2092638 SANTA CASA DE FARTURA;-;922;922
2092980 HOSPITAL DE BASTOS;-;1354;1354
2093227 IRMANDADE DA SANTA CASA DE MISERICORDIA DE ITAI;-;544;544
2093324 SANTA CASA DE FERNANDOPOLIS;6074;-;6074
2093332 SANTA CASA DE SANTA FE DO SUL;-;3142;3142
2093502 HOSPITAL SAO DOMINGOS NA PROV DE DEUS NHANDEARA;1829;-;1829
2095912 HOSPITAL JOSE VENANCIO;-;1194;1194
2096196 HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA;-;3284;3284
2096412 SANTA CASA DE MISERICORDIA DE JACAREI;-;7580;7580
2096463 SANTA CASA DE MOGI GUACU;-;6326;6326
2096498 HOSPITAL MUNICIPAL DR TABAJARA RAMOS;-;3760;3760
2096617 HOSPITAL ASSISTENCIAL MARIA CAVALOTTI NEVES POTIRENDABA;-;893;893
2097613 HOSPITAL INFANTE D HENRIQUE;-;75;75
2097648 HOSPITAL BEZERRA DE MENEZES;-;1087;1087
2097877 IRMANDADE DA SANTA CASA DE MISERICORDIA DE VALINHOS;-;4120;4120
2688433 COMPLEXO HOSPITALAR SANTA CASA BRAGANCA PAULISTA;-;7974;7974
2688514 HOSPITAL PSIQUIATRICO DE VILA MARIANA;1063;-;1063
2688522 CASA DE DAVID SAO PAULO;31;-;31
2688573 HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;8054;-;8054
2688638 INST SUEL ABUJAMRA;-;2050;2050
2688689 SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO;28268;-;28268
2698374 HOSPITAL DE MISERICORDIA NOSSA SENHORA APARECIDA;-;1391;1391
2698439 AMBESP NELSON TEIXEIRA;-;23;23
2698463 SECAO HOSPITAL E MATERNIDADE MUNICIPAL DR SILVERIO FONTES;-;1201;1201
2698471 SECAO HOSPITAL MUNICIPAL DR ARTHUR DOMINGUES PINTO;-;1260;1260
2699915 SANTA CASA DE VINHEDO;-;5823;5823
2701561 INSTITUTO JUNDIAIENSE LUIZ BRAILLE UNIDADE I;-;412;412
2702193 SANTA CASA DE MISERICORDIA DE UBATUBA;-;4910;4910
2704900 HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROV DE DEUS;10515;-;10515
2705222 SANTA CASA DE MOCOCA MOCOCA;-;4985;4985
2705249 HOSPITAL MUNICIPAL MARIA ROSA CARDOSO;-;371;371
2705982 SANTA CASA DE FRANCA;21294;-;21294
2708566 HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO;-;359;359
2708779 SANTA CASA DE SOROCABA;-;15833;15833
2716097 COMPLEXO HOSPITALAR IRMA DULCE O S S;-;9512;9512
2716275 HOSPITAL E MATERNIDADE MAE DO DIVINO AMOR NA PROV DEUS;-;2056;2056
2716291 HOSPITAL JOAO VELLOSO;-;604;604
2716593 HOSPITAL DE MISERICORDIA ALTINOPOLIS;-;1951;1951
2716801 HOSPITAL DA CRIANCA GRENDACC;-;159;159
2745356 CLINICA ANDRE LUIZ;1075;-;1075
2745402 SANTA CASA DE MISERICORDIA DE FLORIDA PAULISTA;830;-;830
2745798 HOSPITAL BENEFICENTE SANTO ANTONIO ORLANDIA;-;2509;2509
2745801 HOSPITAL SAO MARCOS MORRO AGUDO;-;1820;1820
2746298 SANTA CASA DE SANTA ROSA DE VITERBO;-;1145;1145
2747685 SANTA CASA DE MISERICORDIA NOVA EUROPA;-;259;259
2747693 SANTA CASA DE MISERICORDIA RIBEIRAO BONITO;-;273;273
2747871 HOSPITAL MUNICIPAL GOV MARIO COVAS JR;-;3752;3752
2748029 SANTA CASA DE SAO JOSE CAMPOS;6299;-;6299
2748223 HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU;27242;-;27242
2748436 HOSP MAT BENEF DE CHARQUEADA;-;322;322
2748568 SANTA CASA DE MISERICORDIA DE CAPIVARI;-;2708;2708
2749033 CENTRO DE REABILITACAO DE CASA BRANCA;294;-;294
2749149 SANTA CASA DE MISERICORDIA DE TAMBAU;-;1290;1290
2749319 HOSPITAL MUNICIPAL UNIVERSITARIO DE TAUBATE;-;7488;7488
2750511 HOSPITAL ESTADUAL DR ODILO ANTUNES DE SIQUEIRA P PRUDENTE;3734;-;3734
2750538 HOSPITAL MUNICIPAL DE IEPE;-;601;601
2750546 HOSPITAL ESTADUAL PORTO PRIMAVERA ROSANA;3251;-;3251
2750988 SANTA CASA DE DRACENA;-;3536;3536
2751003 SANTA CASA DE JUNQUEIROPOLIS;-;1204;1204
2751011 SANTA CASA MISERICORDIA PADRE JOAO SCHNEIDER MARTINOPOLIS;-;2119;2119
2751038 SANTA CASA DE PRESIDENTE EPITACIO;-;3022;3022
2751046 SANTA CASA DE SANTO ANASTACIO;-;1832;1832
2751569 SANTA CASA DE MISERICORDIA DE CERQUILHO;-;401;401
2751623 HOSPITAL FRANCISCO ROSAS;-;2519;2519
2751674 HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS;-;1202;1202
2751704 SANTA CASA DE MISERICORDIA DE ITUVERAVA;-;3572;3572
2751852 HOSPITAL DIA VILA PRUDENTE;-;566;566
2751860 HOSPITAL DIA FLAVIO GIANNOTTI;-;1948;1948
2751925 HOSPITAL DIA CIDADE ADEMAR;-;2434;2434
2751933 HOSPITAL DIA PENHA HATIRO SHIMOMOTO;-;3480;3480
2751976 HOSPITAL DIA SAO MIGUEL DR TITO LOPES DA SILVA;-;4708;4708
2754843 HOSPITAL SANTO AMARO;-;12410;12410
2755092 SANTA CASA DE PINDAMONHANGABA;-;7274;7274
2755130 HOSPITAL DOMINGOS LEONARDO CERAVOLO PRESIDENTE PRUDENTE;27121;-;27121
2758245 SANTA CASA DE LINS;-;5093;5093
2765934 HOSPITAL DE CLINICAS DE SAO SEBASTIAO;-;5181;5181
2765942 HOSPITAL SANTA LUCINDA SOROCABA;-;7743;7743
2772310 SANTA CASA DE PIRACICABA;-;13244;13244
2773333 SANTA CASA DE GUARAREMA;-;1188;1188
2774720 HOSPITAL DE AGUDOS;-;1231;1231
2784602 HOSPITAL AUGUSTO DE OLIVEIRA CAMARGO;-;15836;15836
2785188 UNIDADE MISTA DE SAUDE DE TABOAO DA SERRA;-;3073;3073
2785382 SANTA CASA DE PIRASSUNUNGA;-;2566;2566
2786435 HCSVP HOSPITAL SAO VICENTE;-;21467;21467
2786680 HOSP MUN FERNANDO MAURO PIRES DA ROCHA;-;14426;14426
2790556 HOSPITAL DE BASE DE BAURU;10472;-;10472
2790564 HOSPITAL DE REABILITACAO DE ANOMALIAS CRANIOFACIAIS BAURU;3555;-;3555
2790580 MATERNIDADE SANTA ISABEL;6593;-;6593
2790602 HOSPITAL ESTADUAL BAURU;17152;-;17152
2790610 HOSPITAL GERAL PREFEITO MIGUEL MARTIN GUALDA DE PROMISSAO;3347;-;3347
2790637 HOSPITAL SANTA LUZIA DUARTINA;-;1497;1497
2790653 HOSPITAL TEREZA PERLATTI JAU;1094;-;1094
2790734 INSTITUTO LAURO DE SOUZA LIMA BAURU;232;-;232
2790998 LAR IRMA DULCE NA PROVIDENCIA DE DEUS PIRAJUI;6;-;6
2791668 SANTA CASA DE AREALVA;-;149;149
2791676 SANTA CASA DE BARIRI;-;1884;1884
2791684 SANTA CASA DE CAFELANDIA;-;842;842
2791692 SANTA CASA DE DOIS CORREGOS;-;1450;1450
2791706 SANTA CASA DE GETULINA;-;379;379
2791714 SANTA CASA DE IACANGA;-;564;564
2791722 SANTA CASA DE JAU;-;11788;11788
2791730 SANTA CASA DE MISERICORDIA DE BOCAINA;-;163;163
2791749 SANTA CASA DE PEDERNEIRAS;-;2118;2118
2791757 SANTA CASA DE PIRATININGA;-;233;233
2791773 CENTRO DE REFERENCIA EM MOLESTIAS INFECCIOSAS CRMI BAURU;-;61;61
2792141 HOSPITAL REGIONAL DE COTIA;14438;-;14438
2792168 HOSPITAL GERAL DE CARAPICUIBA;17343;-;17343
2792176 HOSPITAL GERAL DE ITAPECERICA DA SERRA;15426;-;15426
2798239 HOSPITAL SAO JOSE ITIRAPINA;-;126;126
2798298 SANTA CASA DE MISERICORDIA DE SAO JOSE DO RIO PRETO;-;19141;19141
2801051 PRONTO SOCORRO CENTRAL DE DIADEMA;-;1778;1778
2812703 FUNDACAO FACULDADE DE MEDICINAHCFMUSP INST DE PSIQUIATRIA SP;1297;-;1297
2831503 AME VALE DO JURUMIRIM;464;-;464
2855917 AMB MED ESPEC DOM ANTONIO AFFONSO DE MIRANDA AME TAUBATE;4668;-;4668
2867257 CENTRO HOSPITALAR DE GUARATINGUETA DA VINCI;-;14;14
2882949 PRONTO SOCORRO INFANTIL;-;450;450
2888491 HOSPITAL SAO VICENTE DE PAULO;-;894;894
2956098 HOSPITAL CLINICO MUNICIPAL CECILIA DE LOURDES O FONSECA;-;447;447
3001466 CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;1683;-;1683
3012212 HU HOSPITAL UNIVERSITARIO;-;9492;9492
3021378 HOSPITAL DO VICENTINO;-;5275;5275
3028399 HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO;5654;-;5654
3058808 HOSPITAL REGIONAL DE BEBEDOURO HRB;6188;-;6188
3071448 HOSPITAL DE RETAGUARDA FERNAO DIAS;-;567;567
3126838 HOSPITAL REGIONAL DO VALE DO PARAIBA;11649;-;11649
3139050 HOSPITAL DR LEO ORSI BERNARDES ITAPETININGA;-;10167;10167
3212130 HOSP MUN VER JOSE STOROPOLLI;-;13391;13391
3223728 SANTA CASA DE MISERICORDIA DE SAO BERNARDO DO CAMPO;-;52;52
3254631 FUNDACAO PENIDO BURNIER CAMPINAS;-;159;159
3314766 HOSPITAL ELECTRO BONINI RIBEIRAO PRETO;-;1776;1776
3529282 HOSPITAL MUNICIPAL DOMINGO MARCOLINO BRAILE FUNFARME;-;5539;5539
3753433 HOSPITAL LEONOR MENDES DE BARROS;320;-;320
3774554 HOSPITAL E MATERNIDADE MUNICIPAL N S DO MONTE SERRAT;-;5114;5114
3825752 PRONTO SOCORRO PESTANA P S ANDRE SACCO;-;439;439
3828107 PRONTO SOCORRO DR OSMAR MESQUITA;-;1244;1244
3880966 HOSPITAL DAS CLINICAS DE BAURU HCB;2077;-;2077
3949621 HOSPITAL MUNICIPAL DR ALCIPIO DA SILVA OLIVEIRA JUNIOR;-;887;887
4047613 PRONTO SOCORRO DA VILA DIRCE;-;1848;1848
4049020 SANTA CASA DE OURINHOS;-;11696;11696
4123077 IGESP SA CENTRO MEDICO E CIRURGICO INST GASTROENT DE SP;-;189;189
4233646 HOSPITAL REGIONAL DO ALTO TIETE HRAT;2730;-;2730
4390563 AMBULATORIO MEDICO DE ESPECIALIDADES DE RIBEIRAO PRETO;506;-;506
4702069 HOSPITAL SANTO ANTONIO DE LOUVEIRA;-;1;1
5033543 CASA TRANSITORIA ANDRE LUIZ;6;-;6
5130883 HSOLHOS;-;135;135
5170958 IOM HOSPITAL DIA;-;89;89
5200105 HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA;-;9561;9561
5366828 SANTA CASA DE ATIBAIA;-;4509;4509
5420938 HOSP MUN CARMEN PRUDENTE;-;15944;15944
5437156 HOSPITAL LOCAL DE SAPOPEMBA;808;-;808
5451612 INSTITUTO DE REABILITACAO LUCY MONTORO;633;-;633
5586348 HOSPITAL UNIVERSITARIO DA UFSCAR;-;3160;3160
5718368 HOSP MUN M BOI MIRIM;-;24351;24351
5851084 QUARTEIRAO DA SAUDE ENGENHEIRO OSVALDO MISSO;-;677;677
5860490 HOSPITAL UNIVERSITARIO DE MARILIA;-;5306;5306
5869412 HOSPITAL GACC VALE DO PARAIBA;823;-;823
5887623 HOSPITAL ESTADUAL DE RIB PRETO DR CARLOS EDUARDO MARTINELLI;5653;-;5653
5932696 PS FENELON GUEDES PEREIRA;-;251;251
5935857 HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN;-;4888;4888
6020917 HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN;-;6734;6734
6024688 PSI RENE APRIGIO BRUNETTI DA SILVA;-;982;982
6053858 COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI;-;12653;12653
6095666 HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN;-;24377;24377
6123740 INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;22016;-;22016
6135749 HOSPITAL DIA MOOCA;-;1634;1634
6136028 HOSPITAL DIA ITAIM PAULISTA;-;1392;1392
6164366 HOSPITAL ESTADUAL AMERICO BRASILIENSE;6775;-;6775
6166598 AME AMBULATORIO MEDICO DE ESPECIALIDADES DE SANTOS;161;-;161
6212581 AME AMBULATORIO MED DE ESPECIALIDADES STA BARBARA DOESTE;2791;-;2791
6233848 AME AMBULATORIO MEDICO DE ESPECIALIDADES DE CARAGUATATUBA;3957;-;3957
6236596 HOSPITAL ESTADUAL JOAO PAULO II SAO JOSE DO RIO PRETO;6127;-;6127
6258484 AME AMBULATORIO MEDICO DE ESPECIALIDADES DE PRAIA GRANDE;24;-;24
6284582 AME PIRACICABA DR OSWALDO CAMBIAGHI;1591;-;1591
6289304 AME AMBULATORIO MEDICO DE ESPECIALIDADES BARRETOS;1472;-;1472
6391869 HOSPITAL DIA SAO MATEUS DR HENRIQUE CARLOS GONCALVES;-;2976;2976
6451098 HOSPITAL DALILA FERREIRA BARBOSA;-;1840;1840
6479200 AME DR LUIZ ROBERTO BARRADAS BARATA SAO PAULO;4509;-;4509
6591620 PRONTO ATENDIMENTO INFANTIL;-;2635;2635
6603378 HOSPITAL MUNICIPAL LEONARDUS VAN MELLIS;-;824;824
6607330 AME AMBULATORIO DE ESPECIALIDADES MEDICAS DE TUPA;20;-;20
6655416 AME SANTO ANDRE DR NEWTON DA COSTA BRANDAO;4038;-;4038
6669727 AME AMBULATORIO MEDICO DE ESPECIALIDADES DE FRANCA;1953;-;1953
6680968 HOSPITAL MUNICIPAL SANTO ANTONIO;-;162;162
6788122 INDAIATUBA DAY HOSPITAL;-;28;28
6878687 HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO;8677;-;8677
6895263 AME AMBULATORIO MED ESPECIALIDADES DE SAO JOAO DA BOA VISTA;55;-;55
6943284 MATERNIDADE GOTA DE LEITE DE ARARAQUARA;-;3682;3682
6966594 HOSPITAL E MATERNIDADE MUNICIPAL DE SAO VICENTE;-;2819;2819
6992560 AME AMBULATORIO MEDICO DE ESPECIALIDADES JUNDIAI;3916;-;3916
6998178 HOSPITAL DIA CAMPO LIMPO JARDIM PIRAJUSSARA;-;991;991
6998194 HOSP MUN SOROCABANA;-;2817;2817
6998704 COMPLEXO HOSPITALAR DOS ESTIVADORES;-;9483;9483
7019076 HOSPITAL DIA BRASILANDIA FO;-;3086;3086
7021461 UPA SACADURA CABRAL;-;702;702
7047517 UPA JARDIM SANTO ANDRE;-;1030;1030
7066376 HOSPITAL DE AMOR JALES;3318;-;3318
7113218 UPA PERIMETRAL;-;1265;1265
7188676 AME AMBULATORIO MEDICO DE ESPECIALIDADES DE OURINHOS;787;-;787
7210094 HOSPITAL MUNICIPAL DE CONCHAS;-;370;370
7228163 PRONTO SOCORRO CENTRAL;-;779;779
7320175 HOSPITAL SAO MIGUEL ARCANJO;-;1392;1392
7371349 HOSPITAL DR OLAVO HORNEAUX DE MOURA SAO VICENTE;-;1616;1616
7373465 HOSPITAL DE CLINICAS MUNICIPAL;-;11873;11873
7378394 HOSPITAL DIA M BOI MIRIM II VERA CRUZ;-;1948;1948
7400926 FUNDACAO HOSPITAL REGIONAL DO CANCER;2124;-;2124
7473702 HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO;-;6219;6219
7496117 AMBULATORIO MEDICO DE ESPECIALIDADE AME SOROCABA;139;-;139
7544529 INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA;752;-;752
7572468 INSTITUTO DA VISAO;-;598;598
7573162 HOSPITAL REGIONAL DE JUNDIAI;12117;-;12117
7580770 HOSPITAL ESTADUAL DE CAIEIRAS;2347;-;2347
7603274 HOSPITAL MUNICIPAL SAO JOSE;-;1265;1265
7615280 CANTINHO DO CEU RIBEIRAO PRETO;-;7;7
7682581 PS JOSE IBRAHIN;-;1369;1369
7711980 HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;-;7936;7936
7894260 HOSPITAL GUARUJA;-;1109;1109
7947984 COMPLEXO MUNICIPAL DE SAUDE;-;2360;2360
7965192 HOSPITAL UNIMED RIBEIRAO PRETO;-;4;4
7979649 HOSPITAL DIA VILA GUILHERME;-;2873;2873
7992890 HOSP MUN CAPELA DO SOCORRO;-;2913;2913
9232141 AME AMB MEDICO DE ESP FRANCESCO LEONARDO BEIRA DE AMPARO;123;-;123
9267263 UNIDADE DE RETAGUARDA DE URGENCIA E DIAGNOSTICO DO MELHADO;-;1061;1061
9314687 AME TAQUARITINGA;347;-;347
9377255 CLINICA ACONCHEGO;-;300;300
9425802 HOSPITAL REGIONAL DE PIRACICABA;14987;-;14987
9465464 HOSP MUN JOSANIAS CASTANHA BRAGA;-;13805;13805
9491112 HOSPITAL REGIONAL DE SOROCABA;9953;-;9953
9491252 DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS;10288;-;10288
9556095 HOSPITAL REGIONAL DE REGISTRO REGISTRO;6705;-;6705
9567674 INSTITUTO VISAO DO BEM;-;47;47
9580743 AME AMBULATORIO MEDICO DE ESPECIALIDADES DE SAO VICENTE;1610;-;1610
9639659 SANTA CASA DE MISERICORDIA REGIONAL;-;1684;1684
9680500 SANTA CASA DE GARCA HOSPITAL SAO LUCAS HSL;-;2015;2015
9773657 HOSPITAL ESTADUAL DE SERRANA;3590;-;3590
9898565 HOFTALMED;-;604;604
9950931 HOSPITAL DIA SANTO AMARO;-;7660;7660
Total;1275799;1525738;2801537
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS);;;
 Notas:;;;
 ;;;
 Dados referentes aos últimos seis meses, sujeitos a  atualização.;;;
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:;;;
      ;;;
"      Até maio de 2012 estas informações estão disponíveis como ""Natureza"" e ""Esfera Administrativa"".";;;
"      De junho de 2012 a outubro de 2015, estão disponíveis tanto como ""Natureza"" e ""Esfera Administrativa"", como ""Natureza Jurídica"" e ""Esfera Jurídica"".";;;
"      A partir de novembro de 2015, estão disponíveis como ""Natureza Jurídica"" e ""Esfera Jurídica"".";;;
      ;;;
 ;;;
 Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;
